links,title,time,content,class
/2023/01/08/train-traffic-zwolle-meppel-back-track-repairs,Train traffic between Zwolle and Meppel back on track after repairs,8 January 2023 - 08:30,,1-1-2Business
https://nltimes.nl/2023/01/04/alleged-drug-lord-plotted-kidnapping-dutch-pm-rutte-witness-claims,"Alleged drug lord plotted kidnapping of Dutch PM Rutte, witness claims",4 January 2023 - 09:27,,CrimePolitics
https://nltimes.nl/2023/01/04/wind-gusts-80-kmh-expected-northern-netherlands-today,Wind gusts up to 80 km/h expected in northern Netherlands today,4 January 2023 - 08:14,,TechNature
https://nltimes.nl/2023/01/04/top-executive-pay-2023-will-surpass-minimum-annual-wage-friday,Top executive pay for 2023 will surpass minimum annual wage on Friday,4 January 2023 - 07:50,,PoliticsBusiness
https://nltimes.nl/2023/01/04/jumbo-ending-motorsport-sponsorship-amid-money-laundering-investigation,Jumbo ending most motorsport sponsorship amid money laundering investigation,4 January 2023 - 07:20,,CrimeBusinessSports
https://nltimes.nl/2023/01/03/humpback-whale-possibly-spotted-north-sea-near-hague,Humpback whale possibly spotted in North Sea near The Hague,3 January 2023 - 20:10,,TechNature
https://nltimes.nl/2023/01/03/prosecutors-launch-hate-speech-case-white-supremacy-texts-rotterdam-bridge,Prosecutors launch hate speech case over white supremacy texts on Rotterdam bridge,3 January 2023 - 18:56,,Crime
https://nltimes.nl/2023/01/03/large-dutch-delegation-headed-las-vegas-tech-fair-ces,Large Dutch delegation headed to Las Vegas tech fair CES,3 January 2023 - 17:40,,Business
https://nltimes.nl/2023/01/03/covid-hospitalizations-jumped-60-last-week-2022-hospital-total-8-week-high,Covid hospitalizations jumped 60% in last week of 2022; Hospital total at 8-week high,3 January 2023 - 17:12,,Health
https://nltimes.nl/2023/01/03/telegram-group-claims-responsibility-neo-nazi-racist-erasmus-bridge-stunt,"Telegram group claims responsibility for Neo-Nazi, racist Erasmus Bridge stunt",3 January 2023 - 16:03,,CrimePolitics
